Numéro,Artiste,Paroles
170,bodo,"Réf : 	Fa ho hiran’ny fo izaho sy ianao
	Hira mamin’ny fiainam-baovao
	Hirahiram-pitia efa tao
	‘Zaho sy ianao

‘Zaho ilay namanao tsy mahafoy 
Hatrizay tsy nandao
Dia niombon-tsaina fo sy fanahy
Toa tsy mety lao
Ny hetraketraky ny tsy tia 
Misompatra hatrizay ka hatr’izao
Lazaiko anao fa nangaina satria 
Hiray izaho sy ianao

Ho avy ny oram-baratra 
Afafin’ireo tsy namanao
Ary setrasetran’ireo tsy tia 
Te hankahala anao
Tsy sitrako ny ho maratra sy hifandao
Lazaiko anao hira ho iray 
Izaho sy ianao

Réf

Ny sentosentonao io ravao, 
Ny fo no hatanjaho
Fa na iza n’iza tsy tia anao 
Tsy izay no hankalaina
Mafy fototra ny fitia 
Tsy miova hatrizao
Fa lazaiko anao 
Hira iray izaho sy ianao
Izaho sy ianao

Hira iray
Fa ho hiran’ny fo izaho sy ianao
Hiran’ny fo
Hira mamin’ny fiainam-baovao
Hira iray
Hirahiram-pitia efa tao
Izaho sy ianao

Réf        --------"
171,bodo,"Pour une chanson, toi et moi
Un de la nouvelle vie
Le chant dans l'amour quatre ans, toi et moi

Je suis ton ami, ne l'abandonne pas car il ne voulait pas quitter
Et il est d'accord avec l'esprit et l'âme, il ne semble pas un déchet
Natural, a parlé dans la roue de l'ancien et jusque-là
Je vous le dis, elle était silencieuse parce que je suis l'un d'entre toi et moi
La tempête est à venir dans le secret de vos amis
Et la violence de n'aime pas et le chou frise?
Nous aimons hier, de ne pas transmettre
Je vous le dis, une chanson
Toi et moi

Refrain:
Mais pour vous et moi chanson
Un de la nouvelle vie
Chant dans l'amour quatre ans, vous et moi

Le soupir de?molit, le cœur est forte
Car, comme tous ceux qui ne vous aiment, ce n'est pas ennuyeux
faveur de l'usine, car elle ne change pas
Mais je vous le dis, une chanson
Soyez ... Toi et moi

BODO, TOVO J'HAY, KIX, LUC, JEANNOT, MAHERY. Mai 2005        --------"
172,bodo,"Olona mpanarato
Mailaka ambony rano e ! (in-droa)

Mandeha, mandeha lakan-drafitra e
Olona mpanarato eny izy
Mandeha, mandeha lakan-drafitra e
Tsy mba matahotra onja eny izy eh ya!

Zanaka mpanarato
Mitsimpona akorandriaka e (in-droa)

Jereo, jereo lakan-drafitra e
Tsy mba matahotra onja eny izy
Jereo, jereo lakan-drafitra e
Lakana mpanarato eny izy e ya

Vadin’ny mpanarato
Tsy afaka tebiteby e (in-droa)

Manahy, manahy lakan-drafitra e
Sao dia voatelin’onja eny iny
Manahy, manahy lakan-drafitra e
Lakana mpanarato eny izy e ya

 Eh ya eh eh

Tsy matahotra onja anie iny mpanarato tazako iny
Fa ny tebiteby tsy mahasaraka fa olona tiana
Vohizo malaky ô
Manafo ny lakanao fa manina anao


Olona mpanarato
Mailaka ambony rano e ! (in-droa)

Mandeha, mandeha lakan-drafitra e
Olona mpanarato eny izy
Mandeha, mandeha lakan-drafitra e
Tsy mba matahotra onja eny izy e ya

 E ya eh

Vadin’ny mpanarato
Tsy afaka tebiteby e
Renin’ny mpanarato
Tsy afaka tebiteby e

Manahy, manahy lakan-drafitra
Sao dia voatelin’onja eny iny
Manahy, manahy lakan-drafitra e
Lakana mpanarato eny izy
Manahy, manahy lakan-drafitra e
Sao dia voatelin’onja eny izy
Manahy, manahy lakan-drafitra
Lakana mpanarato eny izy eh ya

Eh ya e
Eh ya
Eh ya e
Eh ya        --------"
173,bodo,"Vao ianao no hitako
Dia fantatro fa tiako
Hany ka tsy vitako
Ny hanohy ny diako tsy hijery anao
Tiako ianao ho velona ao am-poko ao 
Tiako ianao ho velona ao am-poko ao

Vao ianao no hitako
Dia fantatro fa tiako
Hany ka tsy vitako
Ny hanohy ny diako tsy hijery anao
Tiako ianao ho velona ao am-poko ao 
Tiako ianao ho velona ao am-poko ao

Ary izay fiselon’ny rivotra rehetra
Te hisetrasetra
Mbamin'ny hetraketraka mipetraka
Miady amiko
Haiko tsotr’izao fa tsy hamono anao
Ao am-poko aho
Satria ianao mamiko

Ary izay fiselon’ny rivotra rehetra
Te hisetrasetra
Mbamin'ny hetraketraka mipetraka
Miady amiko
Haiko tsotr’izao fa tsy hamono anao
Ao am-poko aho
Satria ianao mamiko

Izay inoako izao
Malalako ianao
Velona ato anatiko

Izay inoako izao
Malalako ianao
Velona ato anatiko

Mandram-pahafatiko
Ho mamiko (x4) 


Aut/Comp: Haingo        --------"
174,bodo,"Mandalo ihany rAha ny fiainana an-tany
Toa feno sento sy soa mora lany
Fa hany mba fiainana maharitra 
Dia tsy amin’izao tontolontsika izao
Ny mafy hatrany no zakaintsika ety
An-tany feno fahoriana manjo
Fa tsy mba misy zava-tsoa maharitra 
Ary tena mahafapo tokoa
Raha mba misy tsara, misy ratsy koa
Ny tsiky sy alahelo mifandimby
Ny  hehy toa misolo hatezerana
Tokelaka dimbiasan’ny tomany

Ny olana mianjady amin’ny fiainana
Dia voavaha ihany anefa indraindray
Misolo fahasahiranana vaovao
Izay olon-kitokiana toa mandao
Fa hany mba fiainana maharitra 
Dia ny miaraka @ jesosy
Fa izy ihany no mba afaka hanome
Ny fitsaharam-piadanam-be

Mandalo ihany raha ny eto an-tany
Izay feno sento sy soa mora lany
Na dada na i neny, zoky zandry koa
Dia mbola hifandao indray andro any
Fa hany mba fiainana maharitra
Tsy ahitana sento sy tomany
Dia ilay fiainan-tsambatra omen’ny Ray
Ilay fiainana mandrakizay        --------"
175,bodo,"Efa tena tsy andry intsony
Ny hiverenanao manoloana ahy
Mila tsy ho tanty intsony
Ny fahabanganao ato an-trano

Toa mangina ny tanàna
Ianao lasa tsy voatana
Ny tandindonao no sisa
Zava-marobe tsy voarindra

Izao moa tsy afa-manoatra
Nefa anie ny fo mafana loatra
Raha vao mifoha maraina
Tsy eo anilanao marary ny aina

Any lavitra any ianao
Izaho eto foana miandry
Tsy mba afaka miala
Fa ireo voady efa voatana

Mangahiahy, toa ankamatatra
Tsy mety ho fantatra, asa angaha
Mangahiahy, toa ankamatatra
Tsy mety ho fantatra, asa angaha

Efa mba zatra tsara 
Teo aminao tanteraka aho e!
Iza indray moa izao
No hitantarako ny alahelo

Ireo vazivazy teo
Ny sedra rehetra izay miseho
Ireo andian-drahona, kotaba marobe
Niaraha-namafa.

Mangahiahy, toa ankamatatra
Tsy mety ho fantatra, asa angaha
Mangahiahy, toa ankamatatra
Tsy mety ho fantatra, asa angaha

Rahoviana no hiverina….        --------"
176,bodo,"Vita lalana hono, ny tampon’ny Horombe
ka velom-bolo aho, fa izay vao nandre
Dia nientanentana teo aho,
May ho any aminao.
fa ho afa-mandeha aho, handeha matetika 
manomboka izao.

Aza manahy fa izao dieny izao
Izaho ho tonga any aminao...
Hanome hafanana vaovao.
Lalan-dratsy teo aloha,
tantara maty tsy hifoha,
fa antsika anie izao tontolo izao,
tontolo izao.

Vita lalana hono.....

Aza manahy fa izao dieny izao...        --------"
177,bodo,"Fiverenana :(in-2)
Na mbola eto Madagasigara na any am-pita
Rehefa toera-manantantara tiako ho hita
Mba ento aho!
Ento aho hanaraka anao

Fahiny isika roa
Nazoto nifanjoy 
Mpifankatia tokoa
ka tsy nifankafoy
Ankehitriny izao
Tsy miova ny fitia
Fa noho ny asanao
Ianao miriaria

Izao tontolo izao
Tetezina avokoa 
Efa voatsidikao
New-York, Paris, Moscou
Koa iangaviako anao
Indraindray raha sikatrakao
Raha toa ka azo atao
Mba ento ity vadinao 	

Fiv

Hataontsika fanao
Ny miaraka mandeha
Rehefa taom-baovao
Na mai, na juin, na juillet
Toy ny mpivady vao
Hidola isika roa 
Izay tany misy anao 
Mba hisy ahy koa

Izao tontolo izao 
Tetezina avokoa
Hiarahako aminao
New-York, Paris, Moscou
Ny fiangaviako anao
Ekeo raha sitrakao
Raha toa ka azo atao
Mba ento ity vadinao

Fiv        --------"
178,bodo,"Fa fony vao namony ny fitiavako anao
Nanomboka nazava ilay jiro nitsilopy
Ho tonga ny havandra sy ny orana nikija tonga hisompatra
Nanapaka ny taho sy namono ilay afo
  Tsy naharitra aho fa lasa
  Nanefy akany vaovao ho ahy
  Hanorenako indray ilay fitia nitsahinao
  Nandratra ahy

Tsy hitamby aminao, na mangidy aza izany
Maika mantsy ho fantatrao, ka izaho tsy hitomany
Ka ny hoaviko eny indrisy, efa nopotehinao
Hosaronako ilay tsiky, amin’zay tsy ho fantatrao
  Tsy ataoko ho fantatrao ny ratram-poko ao
  Sao araraotinao hampijalina ahy indray
  Ataoko toy ny hoe tsy tiako intsony ianao
  Hiala aminao aho sy hanadino anao

Oram-be mivatravatra kotro-baratra
No nalaiko ho namanao
Tsy hamoy fo alahelo an-tanin’olona aho
Fa nataoko hampatsiahy ilay akany lavitra
  Na ny mamiratra aza no hanambazana ahy
  Tsy nahasarika ahy ireo fa ianao
  Ry tany mamiko no nampanembona ahy
  Nierikerika aho fa sao tao ianao
  An-tsaina sisa no nahitako anao

Ny sitra-pony vitany nefa ianao feheziny
Lay fahafahanao toa nitsahiny, tsy tsaroany fa
Ireo toky sy dina nentiny nambabo anao
Hay rotsirotsy fotsiny hampatory anao
Hitanao izao f’ilay fitiavany dia tsy natolony ho anao
Fa ho an’ny tenany

Sombinaiko ho anao no amoronako ity hira ity f’efa
Tsy ho ela dia ho avy ilay ora iray iandrasako anao
Fantatro fa tsy safidinao ny ho tonga ety an-tany
Tsy lanitra no hitsena anao na paradisa koa

Mangahiahy tsy misy hitarainana
Tsy mana-namana tsy manan-kavana
Toa kamboty zary singan’olona
Mavesatra ny fahanginana

Mifendrofendro toa vonton’ny tomany
Toa fenofeno ary sy manimanina
I dada sy i neny tsy eo anilany
Tsy hita izay ho sarangotina

  Fa firy moa no mba mijery izany
  Eny firy koa no mba manampy azy
  Misy ireo miraviravy tanana
  Toa mafy fo tsy mba miantra namana
  Fa firy moa no mba mijery izany
  Eny firy koa no mba manampy azy
  Ka tolory tanana aho mba jereo
  Fa aza avelanao ho irery fotsiny eo        --------"
179,bodo,"Mety ve ny mitomany
Noho ny hetraky ny tany
Sa mbola misy koa ny farany

Mety ve ny mitaraina
Inona no azo antenaina
Fahoriana no mameno ny saina

Nahoana ny hatezeranao 
No mahazo indray ny fonao
Izay efa voahosom-potaka
Nefa mbola misy manosika

Aza avelanao
Ho faty toy izao
Ny herim-po izay ananao
Fa hanampy anao
izaho ho namanao
Tia anao

oh oh

Aza avelanao
Ho faty toy izao
Ny herim-po izay ananao
Fa hanampy anao
Izaho namanao
Tsy hahafoy anao        --------"
180,bodo,"Mihamaizina ny androko
Nilefy ilay masoandro, nihanjona
Toa mampifoha indray ny taloha
Ny lasa izay nodiavintsika omaly
Toa volon'andro  tena soa tokoa
Ny volana no nibaliaka indray
Toa mbola tazako eo ilay alokao
Nirintona dia lasana nandao

REF : Fa mbola ho avy ilay andro izay handrasako
Ka himpody indray ilay hazavana soa
Amin'izay fotoana izay dia ho tsapantsika indray
Ny hasambarana, fitiavana antenaiko tsy ho tarangana
Hibaliaka indray ilay androm-piainantsika
Ho zary hafanana ilay hatsiaka
Ka ny fontsika hifangia sy hikambana ho doria
Hitodio ka mba jereo ity sisa nanamborana, mitoreo

Mino aho fa mbola ho avy indray
Hivimbina hafanana sy fitia
Ilay endrikao miramirana
ka hody indray ilay fifaliana
Ho dify ny orana nanaloka
Hipoitra indray ilay masoandro teo
Ka hanazava indray ny lalana
Lalan-davitra ho diavina

Fa mbola ho avy.....tsy miova sanatria miandry anao ny foko tia, tena tia        --------"
181,bodo,"Ny andro maizim-bava vilany
Ny fiarahana tena mamy 
Fa tsy maintsy hifarana eto
Izaho maika hamonjy ny akany
Ianao koa torak’izany
Fa tsy maintsy hisaraka eto

Ny diavolana ho lava niarahana natao
Mbola averina eto indray ao aoriana
Fa ny anio,ho tapitra hatreo
Ho enti-matory ho nofisina
Satry hiaraka ihany
Malaina hifandao

Ny zavatra atomboka rehetra
Tsy maintsy misy farany ihany
K’aza ataonao mahaketraka
Izaho na dia toa hitomany
Tsiky no hasoloko izany
Ao aoriana ihaona ihany

Ny diavolana ho lava
Niarahana natao
Mbola averina eto indray ao aoriana
Fa ny anio ho tapitra hatreo
Ho enti-matory ho nofisina
Satry hiaraka ihany 
Malaina hifandao!        --------"
182,bodo,"Androany hariva sisa
No ilay ora niandrasany
Ny teny avy ao am-poko
Tia azy aho sa tsy tia
Fa dia tsy voatanisa
Ny bitsi-po tsy fantany
F’irony hambom-poko
No voalazako tery
Hita tamin’izay
Fa menatra aho angamba
Na azoazon-tahotra
Hilaza ny ao am-poko
Nafeniko azy indray
Ilay foko kely jamba
Toro vahobahotra
Mijaly, mitoloko
Nefa ny hany andrasany 
Dia ny fahalalana 
F’izaho dia tena tia
Fitia tsy misy fitaka
Mino aho fa raha fantany
Izay tao am-po voatana
Tsy misy tahaka ity
Ny foko mba hibitaka 
Saingy lasana izy
Nivily lalan-kafa
Nandeha namboly indray
Fitiavana any an-kafa
D’izaho mangina irery
Izaho irery no mitafa
D’izaho mangina irery 
Izaho irery no mitafa...        --------"
183,bodo,"Olona mpanarato
Mailaka ambony rano e !  (in-droa)

Mandeha, mandeha lakan-drafitra e
olona mpanarato eny izy
Mandeha, mandeha lakan-drafitra e
Tsy mba matahotra onja eny izy e !

Zanaka mpanarato
Mitsimpona akorandriaka . . (in-droa)

Jereo, jereo lakan-drafitra e
Tsy mba matahotra onja eny iny e
Jereo, jereo lakan-drafitra e
Lakana mpanarato eny iny e Ah I

Vadin’ny mpanarato
Tsy afaka tebiteby    (in-droa)

Manahy, manahy lakan-drafitra
Sao dia voatelin’onja eny iny
Manahy, manahy lakan-drafitra e
Vadin’ny mpanarato eny izy e.



Tonony sy Feony : Bessa
Mpihira :  Bodo        --------"
184,bodo,"Raha handeha ianao izao
Ka ilaozanao eto aho
Raha avelanao irery
Dia hangina aho tsy hiteny
Ka ny ho avy hatrehiko
Raha tsy ho eo intsony ianao
Ambom-po no asehoko
Amin’izay tsy ho fantatrao

Tsy hitamby aminao
Na mangidy aza izany
Mainka mantsy ho fantatrao
Ka izaho tsy hitomany
Ka ny hoaviko eny indrisy
Efa nopotehinao
Ho saronako ilay tsiky
Amin’izay tsy ho fantatrao

Tsy hataoko ho fantatrao
Ny ratra am-poko ao
Sao araraotinao hampijaliana ahy indray
Hataoko ho toy ny hoe
Tsy tiako intsony ianao
Hiala aminao aho sy hanadino anao

Raha ho faty ny fitia
Ka handainga ny masonao
Hamitaka ahy ny fonao
Ho an’olon-kafa indray
Amin’izay ny hoaviko
Mety ho maizina amiko
Nefa hitsiky ihany aho
Amin’izay tsy ho fantatrao.        --------"
185,bodo,"Nandao, teny tsotra iray
Fa tsy haiko ny hisara-toerana indray
Sy hanao veloma anao
Antsa toa malahelo indray
Hoventesiko mandra-pipodinao
Sy ny ora hahitako anao

Nandao, tsy haiko intsony atao
Ianao hanalavitra ahy
Fa raha toa ka azonao atao
Miangavy aho mitalaho
Aza ambaranao amiko
intsony f’izao atao :

            Aza ilaozanao aho (X3)
            Fa sarotra ny tsy anilanao
            Aza ilaozanao aho (X3)
            Fa sarotra ny tsy anilanao

Nandao, teny tsotra iray
Fa tsy haiko ny hisara-toerana indray
Sy hanao veloma anao
Antsa toa malahelo indray
Hoventesiko mandrapi-podinao
Sy ny ora hahitako anao

Nandao, tsy haiko intsony atao
Ianao hanalavitra ahy
Fa raha toa ka azonao atao
Miangavy aho mitalaho
Aza ambaranao amiko
intsony f’izao atao

            Aza ilaozanao aho (X3)
            Fa sarotra ny tsy anilanao
            Aza ilaozanao aho (X3)
            Fa sarotra ny tsy anilanao

Nandao, tsy haiko intsony atao
Ianao hanalavitra ahy
Raha toa ka azonao atao 
Miangavy aho mitalaho
Aza ambaranao amiko
F’izao atao

            Aza ilaozanao aho (X3)
            Fa sarotra ny tsy anilanao
            Aza ilaozanao aho (X3)
            Fa sarotra ny tsy anilanao

Fa raha toa tsy maintsy handeha ianao
Aza miherikerika akory
Mba tsy ho hitanao ilay ranomasoko mijohy


BODO        --------"
186,bodo,"Fitiavan-dehibe
no omen’ineny anao
na kapoka aza re
no azonao

fitiavan-dehibe
fa naharary anao
tsy nanenenany 
fa tiany ianao

ref:
Tadidinao ve 
ny angolangola sy ny hantanao?
tsikitsiky sy hehy
kilalao nahazatra anao
tsaroanao koa ireo
tsora-kazo nihatra taminao
ianao no toy izao 
dia noho ireo        --------"
187,bodo,"Avia,Neny tiako
eto ampofoko.
Eto an-tsandriko ankavia
mba ho akaikin’ny foko.
Etsy ,etsy ho esoriko
ireo volofotsy;
Hitantaràko angano ianao
sady arahiko rotsirotsy.



Ny adidy tsy efànao
mbola tianao hotohizana
Tsy mahatsiaro hasasàrana
tsy mahalàla vizana
Mihisakisaka ,mila hotorovana
Ampy izay,
Ianao ilay niaro indray
no mba mila fiarovana



Avia Neny tiako
f’aza miahiahy
Ny ataoko anie
sombin’ny vitanao hatrizay
etsy hotatanako fa efa lànaka
Ny aina no..ny aina no matezà
f’hifampitaiza isika mianaka.


Tonony :DADAH
Feony   :DADAH
Mpihira :BODO        --------"
188,bodo,"Nihamaizina ny androko
Nilefy ilay masoandro nianjona ahy 
Toa nampifoha indray ny taloha 
Lasa izay nodiavintsika omaly

Toa volon’andro tena soa tokoa
ny volana no nibaliaka indray
Toa mbola tazako eo ilay alokao
Nirintona dia lasana nandao

Fa mbola ho avy ilay andro izay andrasako
Ka hipody indray ilay hazavana soa
Amin’izay fotoan'izay dia ho tsapatsika indray
Ny Hasambarana fitiavana antenaiko
Tsy ho tarangana 
Raha hibaliaka indray ilay androm-piainantsika 
Ho zary hafanana ilay hatsiaka 
ka ny fontsika hifangia sy hiakambana ho doria
Itodio ka mba jereo ity sisa nanamboranao mitoreo

Mino aho fa mbola ho avy indray
Hivimbina hafanana sy fitia
Ilay endrikao miramirana
Hampody indray ilay fifaliana
Nidify ny orana nanaloka ahy
Hipoitra indray ilay masoandro teo
Mba hanazava indray ny lalana 
Lalandavitra hodiavina

Fa mbola ho avy ilay andro izay andrasako
Ka hipody indray ilay hazavana soa
Amin’izay fotoan'izay dia ho tsapatsika indray
Ny Hasambarana fitiavana antenaiko
Tsy ho tarangana 
Raha hibaliaka indray ilay androm-piainantsika 
Ho zary hafanana ilay hatsiaka 
ka ny fontsika hifangia sy hikambana ho doria
Itodio ka mba jereo ity sisa nanamboranao mitoreo

Fa mbola ho avy ilay andro izay andrasako
Ka hipody indray ilay hazavana soa
Dia amin’izay fotoan'izay dia ho tsapatsika indray
Ny Hasambarana fitiavana antenaiko tsy ho tarangana 
Hibaliaka indray ilay androm-piainantsika 
Ho zary hafanana ilay hatsiaka 
Ka ny fontsika hifangia sy hikambana ho doria
Tsy miova sanatria miandry ano ity foko tia tena tia        --------"
189,bodo,"Ingahibe noelinao nandeha sambon-danitra ,
Efa tonga ela tsy nanano-sarotra e! e!
Ny azy kosa ho' aho nandeha fiara mikodia
Tratra embouteillage teny Ambanidia e! e!
Ny sakafonao misy ambiny an-dovia,
Ny azy kosa ho'aho ery an-joridira ery e! e!
Raha mba manana ianao mba malala-tànana,
Izarao ihany ireo niangarana e! e!

Tsy fidiny azy anie ny ho tonga amin 'io toerana io,
Tsy nangataka izy hoe: Inty aho hampijalio,
Fa satriny aza aky! ho mandina ny molony,
Ho soa ny akaniny, lafatra sy kanto ery 

Nihen-danja hono ny vola malagasy,
Ariary dimy aza lasa tokana e! e!
Ny azy kosa hono raha mba mangataka,
Ari' roa iha'ny fa tsy miakatra e! e!
Ianao mlvaoka: rano-manitra midofaka,
Izy kosa ho' aho: masiso, miosom-potaka e!
K' aza lalim-paosy manao hoe: alea mandeha
Tsy misy vola, mikisà fa maimbo be e! e!        --------"
190,bodo,"Iriko foana ny hahita Anao
Hitoetra eo anilako
Hanao ireo teny mamy fanaonao
No ilaiko hoheno rahateo.

Kanefa izaho toa tsy izaho intaony 
Noho ny fahitako Anao
Toa analany,toa ampitomboiny
Omeny toetra vaovao.

     Fa izay rehetra nokendreko
     manjary adinoko avokoa,
     Ianao no masaka ao an-doha
    Toa tsy mahita izay jereko
     Ireto masoko ankiroa
     fa jamba aminao tokoa
     Ny sisa azoko atao, dia ny manankina aminao
    ny androm-piainako hatrizao.

Indraindray aho toa alaim-panahy
Hisara-dalana aminao
Ny ato am-poko anefa dia mandà
Fa efa babo tsotr'izao

Izay manintona aminao tsy haiko
Fa reko fotsiny amin’izao
Angamba koa tena efa voa ny saiko
Noho ny fahitana Anao.

     Fa izay rehetra nokendreko
     Manjary hadinoko avokoa
     Ianao no masaka ao an-droha
     Fa tsy mahita izay jereko 
     ireto masoko ankiroa
     fa jamba aminao tokoa
     Ny sisa azoko atao, dia ny manankina aminao
     ny androm-piainako hatrizao.

     Fa izay rehetra ....        --------"
191,bodo,"Ny fitiavako anao

(L)Nahoana moa isika roa no dia voatery hiteny hoe tiako ianao
Nefa mifankafantatra ao ampo
Nahoana koa no rehefa tonga ny fotoana toy izao vô 
Holazaiko ny fitiavako anao
(V)Tsy ho voalazako anteny foana raha ny fitiavako anao
Tsy ho ampy izao fankalazana izao
Manomboka izao raha sitrakao izaho ho anao mandrakizay
Ny momba antsika ankinina @dray
(L)Satriko ho ren’izao tontolo izao raha ny fitiavako anao
Saingy efa ampy ahy hoahy irery ny bitsiky ny masoanao mijery
Ref : Nahoana moa isika roa no de voatery hiteny hoe tiako ianao
Nefa mifankafantatra ao ampo
Saingy androany hafa ihany tiako ho ren’izao rehetra izao
Ny mari-pitiavako anao
(V)Nahoana moa no dia voatery hifanolotra ny peratra
Fa efa ela no nivady tao ampo
Saingy androany hafa ihany tiako ho ren’izao tontolo izao
Ny mari-pîtiavako anao
Satriko ho ren’izao tontolo izao raha ny fitiavako anao
Saingy efa ampy ahy ho ahy irery ny bitsiky ny masonao mijery

Ref : (…)
Saingy androanay hafa ihany tiako ho ren’izao rehetra izao
Ny mari-pitiavako anao


                     Bodo sy Felaniary                --------"
192,bodo,"Ny fiainako hatrizay, hatramin’izao
Raha nitraka sy nihiratra
Dia noho ianao
Noho ny saina koa
Ny tanana nanaiky handray
Ny fitiavanao, no tsapako tsy nankalao, 

Tsy niova
N’inona nitranga teo
Tsy mba tia sehoseho

Ny fanahy no olona
Mandalo izao rehetra izao
Masoandro tsy foiko
Ny tsiky avy aminao

Hirahira soa ny teninao mambabo ahy
Toy ny elatra hialofako 
Feno fitia
Mampahery fo, ny antsonao tsy mampanahy
Fa fitaratra manoritra ny doria, 

Avy aminao


Tonony : Haingo
Feony : Bita, Dôsa        --------"
193,bodo,"Ny ""tsia"" filazanao nanafaka aina ahy
Ka mankarary an-doha tsy toy ny teo aloha
Raha namaly ianao ""eny"" no lazao
Fa avotr’aina ho ahy
Ho faly aho satria efa nahazo teny mamy avy aminao
Faly aho fa tiako ianao
Ny masoandro hamiratra indray
Ny volana aza alaiko ho anao 
Fa ny ""eny"" ambarao

Izay mihintsy ilay teny
Raha toa tia ahy ianao ataovy ""eny""
Ny fiainako sy ny anao
Tsisy tomika fa fianam-baovao
Ny andro lasa ho adinoiko
Na mangidy aza tsy tsaroako
Eo am-bavako ny ""eny""
Faly aho miaraka aminao


Andramo ny ""eny"" hatramin’izao
Faly aho miaraka aminao
Hatramin’iny, hatramin’izao
Hanori-mpiainam-baovao


  Tonony: Bodo
   Feony: Sonny Clark        --------"
194,bodo,"Detonation, political skirmish
Starvation, everyone’s selfish
Assassination, decent people perish
Accusation, and the truth manish

Have you heard the news from the radio this morning
Nations war against nations
How many children and  mothers a day are dying
Nobody’s found a real solution

It is just an open perdition
I let you know that is a malediction
So you have to guess what is the conclusion 
Oh what I tell, excrucing...
Political

Segregation’s, apartheid system
War of secession, that’s an endless problem
Air pollution, where dies it cime from
Intimidation, that’s the root of scission

Bodo        --------"
195,bodo,"Ndeha sombinaiko katsaho ny harena
Tsofiko rano ianao mba hiavo-tena
Hanova ny fianarana any am-pita
Katsaho ny diplôma tsy hita isa
Tsarovy anefa fa ny ana-dRay sy Reny 
Ny ahasoa anao no jereny Ka sao..


Lasa nandeha Rafahendrena 
Fa norohain-dRafahalalana
Tsy navelany ny tena e!
Fa azony re ny fanjakana
Fo vato sisô 
Fo vato mitanisa ny adalany

Fa inona no antony
Ny Taolo tsy mankany an-tsekoly 
Nandrato fianarana ambony
Kanefa manam-pahendrena
Tsy voavidim-bola, tsy takatr’harena
Tandremo dia tandremo ireny
Fa lovan’ny tena

Fa misy sombinaiko ireo tsy mba misaina
Fa rehefa lasa ambony dia izy hono no hajaina e!
Kanefa dia tanora maintso volo
Milaza ho mpitondra ny tontolo
Adino teo anefa ny ana-dRay sy Reny
Ny hahasoa anao no jereny Satria...        --------"
196,bodo,"Raha re ny feon'i Jeso tia
Miantso hoe "" ô! aiza moa ianao
Ry mpanota very mamalia
Fandrao dia hangina Izy izao

REFRAIN
Anio misy famonjena
Voavoatra ka atolotra
Anio nefa tsy terena
Fidionao ka Kristy re ekena

Raha re fa Izy 'njao mandona
Ao am-po maniry hiditra ao
Ry mpanota, Izy anie mifona
Miandry mafy hampidirinao

Mbola re kanefa vetivety
Dia hangina lasan-davitra
Ry mpanota, anio no andro mety
Rahampitso dia tsy fantatra


Auteur  Compositeur : Rajoelison        --------"
197,bodo,"REHEFA EO IANAO MAZAVA NY HAIZIM-PITO
MANALOKA NY FOKO
NY FAHANGINANAO DIA AMPY HIFALIAKO
HANDROAKA NY TOLOKO MPAHAZO AHY IRERY

REHEFA EO IANAO TOA FENO NY FISIAKO
SY NY REHETRARETRAKO
NY TOPI-MASONAO DIA AMPY HITSIKIKO
HAMONO NY HETAHETAKO SY MAMPAHAZO HERY

REHEFA EO IANAO DIA IZAY NO FIAINANA
REHEFA EO IANAO DIA IZAY NO FIAINANA
AMIKO.        --------"
198,bodo,"Ry foko, mitonia                
Mitonia raha sendra alon-drano   
Ny hotakotakao                   
Aoka mba ho sarin’ady                     
Ny rangotry ny anio              
Hanolatra atsy ho atsy          
Ka aza dia mitroatra            
Banjino ny ho avy              

  Aza tomany raha nindaosin’onja
  Ilay fanantenana, nidify dia tsy hita
  Ny horohoronao, zary ho dobok’aponga
  Hiandrasana ny ampitso, hitondra ny maraina

Ry foko, na dia tsy mora
Izany hoe manadino izany
Dia ao ny fotoana
Hamolavola tsy hanjokaiky
Ny fendrofendonao
Hivadika ho hira       
Hikalo ilay mpanjaka   
Mpanjakan’ny Hazavana            --------"
199,bodo,"Safidiko ny ho tia anao
Tsy an-tery na fatotra
Tsy lahatra ny akaikinao
Fa safidy tsotra izao
Fitia matotra no tsapako ao
Ka na inona na inona miseho dia ho eo aho
Eo anilanao 
Ka aza manahy fa izaho tsy hahafoy anao

Safidiko ny ho tia anao
Tsy an-tery na fatotra
Tsy lahatra ny akaikinao
Fa safidy tsotra izao 
Fitia matotra no tsapako ao
Ka na inon na inona miseho dia ho eo aho hoy aho
Eo anilanao
Ka aza manahy fa izao tsy hahafoy anao
Ka na inona na inona miseho dia ho eo aho
Eo anilanao
Ka aza manahy fa izaho tsy hahafoy anao

Efa fantatro fa ianao toy ahy, tia ahy
Ka inoako fa tsy hisy olon-kafa hisolo toerana ahy
Ao am-ponao
Izaho tia anao
Safidiko ny ho tia anao        --------"
